ID;"Product name";"Product price";"Product retailer price";PZN;"Product description";"Product short-name";"Product category";"Product stock level";"Product discounted price";"Discount in %";"Discount absolute";"Adwords keywords";"Link to Product image";"Link to Product";Tags;"Active/Not Active"
AT-P3784893-16ST;"Paradolor Cappuccino 500mg - zurzeit nicht lieferbar";"5.08 EUR";"7.95 EUR";3784893;"Der Schmerz-Stick mit dem Wirkungs-Kick für unterwegs";Paradolor;"Schmerzen & Verletzungen > Paradolor > Stada Arzneimittel > Erkältung > Frauengesundheit > Schmerzmittel > Summer Sale 2016";0;"5.08 EUR";56%;"2.87 EUR";Paradolor;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3784893-16ST-18235832.jpg;https://www.vamida.at/paradolor-cappuccino-500mg.html;onSale;Active
AT-P2386392-1ST;"Xenofit Heisses C";"7.17 EUR";"8.50 EUR";2386392;"Xenofit - der tägliche Vitamin „Kick“";Xenofit;"Nahrungsergänzung & Vitalität > Verla > Abverkauf > Nahrungsergänzungsmittel";0;"7.17 EUR";19%;"1.33 EUR";Xenofit;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P2386392-1ST-18210222.jpg;https://www.vamida.at/xenofit-heisses-c.html;onSale;Active
AT-P3478191-30ST;"Macalvit Orange Brausetabletten";"11.89 EUR";"14.60 EUR";3478191;"Für gesunde Knochen und Zähne";"Macalvit Orange";"Nahrungsergänzung & Vitalität > Nahrungsergänzungsmittel";1;"11.89 EUR";23%;"2.71 EUR";"Macalvit Orange";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3478191-30ST-17722769.jpg;https://www.vamida.at/macalvit-orange-brausetabletten.html;onSale;Active
AT-P3393678-60ST;"Liposinol plus ";"32.16 EUR";"39.50 EUR";3393678;"Natürliche Fettbinder mit 3-fach Wirkung und Vitaminen";"Liposinol plus";"Abnehmen & Diät > Abnehmen > homöopathische Mittel";1;"32.16 EUR";23%;"7.34 EUR";"Liposinol plus";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3393678-60ST-17722570.jpg;https://www.vamida.at/liposinol-plus.html;onSale;Active
AT-P3734582-60ST;"Liposinol - AUFGELASSEN";"33.58 EUR";"39.50 EUR";3734582;;"Liposinol - AUFGELASSEN";"Abnehmen & Diät";0;"33.58 EUR";18%;"5.93 EUR";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3734582-60ST-17722331.jpg;https://www.vamida.at/liposinol-aufgelassen.html;onSale;"Not Active"
AT-P1251129-20ML;"Vibrocil Nasenspray";"5.01 EUR";"9.40 EUR";1251129;"Stoppt lästigen Niesreiz, öffnet die Nase";Vibrocil;"Allergie & Heuschnupfen > Erkältung & Abwehr > Nasivin/Vibrocil > Heuschnupfen & Pollenallergie > Erkältung";13;"5.01 EUR";88%;"4.39 EUR";Vibrocil;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1251129-20ML-18210052.jpg;https://www.vamida.at/vibrocil-nasenspray-20ml.html;onSale;Active
AT-P0842118-10G;"Vibrocil Nasengel - AUFGELASSEN";"3.36 EUR";"3.95 EUR";842118;;"Vibrocil Nasengel - AUFGELASSEN";"Erkältung & Abwehr > Nasivin/Vibrocil";0;"3.36 EUR";18%;"0.59 EUR";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P0842118-10G-17722041.jpg;https://www.vamida.at/vibrocil-nasengel-aufgelassen.html;onSale;"Not Active"
AT-P0150099-12ST;"Viburcol Kinderzäpfchen";"5.48 EUR";"8.55 EUR";150099;"Zur Behandlung von Unruhezuständen";Viburcol;"Beruhigung, Schlaf & Nerven > Naturheilmittel > Homöopathie > Kinder & Jugendliche > Dr. Peithner > Erkältung > Schlaf > homöopathische Mittel > Babys und Kinder";9;"5.48 EUR";56%;"3.07 EUR";Viburcol;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P0150099-12ST-17637161.jpg;https://www.vamida.at/viburcol-kinderzapfchen.html;onSale;Active
AT-P0034660-70G;"Midro Tee";"4.98 EUR";"7.70 EUR";34660;"Zur Behebung von gelegentlichen Verstopfungen";"Midro Tee";"Magen & Darm > Verdauung > gesunde Nahrungsmittel";8;"4.98 EUR";55%;"2.72 EUR";"Midro Tee";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/m/i/midro_tee_70g.jpg;https://www.vamida.at/midro-tee.html;onSale;Active
AT-P0034648-4ST;"Microklist - AUFGELASSEN - Nachfolger Microlax";"4.69 EUR";"6.45 EUR";34648;;"Microklist - AUFGELASSEN - Nachfolger Microlax";"Magen & Darm";0;"4.69 EUR";38%;"1.76 EUR";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P0034648-4ST-17186780.jpg;https://www.vamida.at/microklist-4st.html;onSale;"Not Active"
AT-P2441004-60ST;"Klimadynon  - zurzeit nicht lieferbar";"7.59 EUR";"9.90 EUR";2441004;;"Klimadynon  - zurzeit nicht lieferbar";"Für Sie & Ihn > Die Frau in den Wechseljahren";0;"7.59 EUR";30%;"2.31 EUR";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/bionorica-klimadynon-filmtabletten-60st-verpackung-1.jpg;https://www.vamida.at/klimadynon.html;onSale;"Not Active"
AT-P0917201-100ML;"Rohde Hirschtalgcreme - AUFGELASSEN";"5.23 EUR";"7.75 EUR";917201;;"Rohde Hirschtalgcreme - AUFGELASSEN";"Kosmetik & Pflegeprodukte";0;"5.23 EUR";48%;"2.52 EUR";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P0917201-100ML-17037310.jpg;https://www.vamida.at/rohde-hirschtalgcreme.html;onSale;"Not Active"
AT-P3129792-500ML;"Leaton sine";"11.78 EUR";"16.90 EUR";3129792;"Das Multivitamin-Tonikum ohne Alkohol und ohne Zucker";"Leaton sine";"Nahrungsergänzung & Vitalität > Leaton > Erkältung > Nahrungsergänzungsmittel";0;"11.78 EUR";43%;"5.12 EUR";"Leaton sine";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3129792-500ML-17031409.jpg;https://www.vamida.at/leaton-sine.html;onSale;Active
